Sample,r,alpha,beta,k,Antag_Lag,Collapse_Lag
214,0.008216745101358081,0.008395622151241606,0.0027346256764338066,0.02113790716743903,89.0,106.5
215,0.007748684103189855,0.007437150626497497,0.003058357019936355,0.020264303389604183,100.0,129.9
216,0.009743924565076528,0.007394899878183062,0.003021951242394822,0.022885931601098215,96.80000000000001,124.70000000000002
217,0.008732060264363378,0.00763419074544349,0.0026897162213376413,0.021076677632161946,99.4,122.30000000000001
218,0.009976821176736496,0.008503759789800672,0.002885978384651778,0.02169750526527344,90.9,112.5
219,0.009388798766745343,0.007294651884970717,0.00257284772009431,0.02089650665558967,107.20000000000002,133.20000000000002
220,0.009583125017887972,0.007857578869297839,0.002574386393253135,0.02135658541191132,98.9,120.10000000000002
221,0.008273901950787792,0.007886758673097138,0.0025677394839789276,0.02053271898807217,97.70000000000002,117.30000000000001
222,0.009809773430507611,0.006776725489622251,0.0031374714970666875,0.02146989763951662,110.70000000000002,152.8
223,0.00791849176045023,0.006922137429748771,0.003200040238670093,0.025786318312062937,84.70000000000002,106.80000000000001
224,0.009891593634330875,0.007268662941641523,0.0031512766229135816,0.02123784022495659,105.5,142.8
225,0.008441498871704735,0.008391755591672517,0.0025617017311596623,0.020402704630672733,93.60000000000002,111.0
226,0.008211292888894273,0.006434697458716093,0.0027132918915808175,0.02388046051117815,100.4,124.60000000000002
227,0.008787846286599742,0.008383511349923193,0.0032856992055645966,0.022194303288368154,85.30000000000001,108.9
228,0.008350443270264489,0.00722930791837635,0.0030812654482633268,0.021678764849351904,98.60000000000002,128.3
229,0.00933520205119266,0.00729617621743029,0.0030468424627667825,0.022853524438655865,96.70000000000002,124.80000000000001
230,0.008445057550763177,0.008509019940664851,0.003237245214743784,0.020784391098607503,88.70000000000002,113.5
231,0.009994863534924363,0.007471720196061405,0.0033550970042046818,0.025395988239071736,86.5,112.9
232,0.008798076462066928,0.006425555943720264,0.0027918096234464513,0.023591023160479462,103.80000000000001,132.20000000000002
233,0.009360391193530597,0.006955247292224704,0.0026754204666655417,0.0256411623552271,91.5,110.5
234,0.01030788588789959,0.007557802910181041,0.002704511357263473,0.021708428212370387,102.70000000000002,128.8
235,0.007699654826678159,0.008432172314761122,0.002655975974601127,0.02383485016384463,77.0,87.80000000000001
236,0.008389949095855456,0.007621900505660534,0.0031362783495166775,0.02560489520791334,79.80000000000001,98.20000000000002
237,0.008207337433753627,0.00639974061448158,0.0026731970670619263,0.026096130306518254,92.60000000000002,111.80000000000001
238,0.010009503209418789,0.007719179479883193,0.003090465174390288,0.024453606355078324,87.9,111.0
239,0.008123502452283313,0.00843242687833116,0.002926893472402866,0.02248313831246399,82.5,99.30000000000001
240,0.00905107780426366,0.006480673425243873,0.0026996550318804714,0.02496385497882033,98.9,122.4
241,0.007873556403397841,0.0077320922462993736,0.002770814198713189,0.022526176342153415,88.70000000000002,106.60000000000002
242,0.008429473089280888,0.0071752636120461346,0.003197141314665821,0.021881880792205995,98.30000000000001,130.10000000000002
243,0.009179292528801621,0.0074461134049479735,0.003147304048826383,0.02635343987788006,81.70000000000002,101.80000000000001
244,0.009627944662467674,0.006858615851829202,0.002578064821555156,0.02163822566965578,110.4,138.8
245,0.009256710412890687,0.0064907080803395635,0.0029967296224811123,0.02397693151392906,102.30000000000001,134.0
246,0.008552458505205793,0.008109552458428098,0.0026459384278203946,0.0203302130943333,97.0,117.60000000000002
247,0.009616109641749727,0.007489855461463946,0.0031695621567849625,0.022844443096840184,95.0,124.10000000000002
248,0.008315285489745586,0.008217980214766949,0.003269474291072081,0.024660928331272446,76.70000000000002,94.80000000000001
249,0.008384791870520897,0.007703019000455445,0.002874876507246024,0.020445158692553173,99.4,125.60000000000002
250,0.010126746653748055,0.006682841919567663,0.003405213618438722,0.022922580352976108,105.60000000000002,149.8
251,0.008149858907864271,0.007594277131601305,0.0033356512522887674,0.02492325195600283,81.0,102.5
252,0.009827715099225913,0.007857262575099114,0.0031730489080660676,0.02574087760444158,81.4,101.80000000000001
253,0.0083241036239198,0.007476206168197065,0.002749088497637642,0.026708799375896562,78.60000000000002,91.70000000000002
254,0.010198960217153856,0.0064637103255791376,0.0031850176552641195,0.0262724857387355,96.60000000000002,128.10000000000002
255,0.008137553431843799,0.007652876768743416,0.003373939467829238,0.020042282390314733,99.10000000000002,134.70000000000002
256,0.009533034721566466,0.007044035266588239,0.003381956575838877,0.026592697133705916,85.80000000000001,112.10000000000002
257,0.01019951952060627,0.007441981987479293,0.003325838385890382,0.02570840029576014,86.4,112.4
258,0.008511571277756789,0.008240059816839023,0.0025833068712439434,0.02397292645058955,81.20000000000002,93.4
259,0.008271023860676798,0.006646275492998876,0.0026192578814662883,0.024672058543388196,95.10000000000002,114.60000000000002
260,0.008567662402173777,0.008005725235939714,0.0026088207067190483,0.022008879461435968,91.0,108.0
